id,title,price,brand,list,availability,code,size,os,model_cpu,freq,ram_size,hard_typee,storage,videocard,videocard_type,videocard_mem,code2
s61,"Ноутбук Acer Nitro 5, AN515-54-5292 (NH.Q59ER.02P)",399990,Acer,Ноутбуки,Нет в наличии,393476,"15,6″ - 39,62 см",Linux,Intel® Core™ i5-9300H,2.4 ГГц,8 ГБ,SSD,512 ГБ,GeForce GTX,1650 Super,4 ГБ,(NH.Q59ER.02P)
s62,Ноутбук Asus Zenbook UM431DA-AM020T R785UW (90NB0PB3-M01810),399990,Asus,Ноутбуки,Нет в наличии,442639,"14″ - 35,56 см",Windows 10,AMD Ryzen 7 3700U,2.3 ГГц,8 ГБ,SSD,512 ГБ,Radeon,,,(90NB0PB3-M01810)
s63,Ноутбук Apple MacBook Air 13″ i5 1.8/8Gb/128SSD Silver (MQD32),389890,Apple,Ноутбуки,Нет в наличии,75179,"13,3″ - 33,78 см",macOS Sierra,Intel® Core™ i5-5350U,1.8 ГГц,8 ГБ,SSD,128 ГБ,Intel HD Graphics,6000,SMA (выделяется из операт. памяти),(MQD32)
s64,Ноутбук Acer Aspire 3 A315-54K (NX.HEEER.01F),199990,Acer,Ноутбуки,Нет в наличии,427021,"15,6″ - 39,62 см",Linux,Intel® Core™ i3-6006U,2.0 ГГц,4 ГБ,HDD,1 ТБ,Intel HD Graphics,520,SMA (выделяется из операт. памяти),(NX.HEEER.01F)
s65,Ноутбук Asus Vivobook S15 S533FL-BQ019T (90NB0LX3-M00720),369990,Asus,Ноутбуки,Нет в наличии,442640,"15,6″ - 39,62 см",Windows 10,Intel® Core™ i5-10210U,1.6 ГГц,8 ГБ,SSD,512 ГБ,GeForce MX,250,2 ГБ,(90NB0LX3-M00720)
s66,Ноутбук Acer Nitro 5 AN515-42 (NH.Q3RER.003),299990,Acer,Ноутбуки,Нет в наличии,82510,"15,6″ - 39,62 см",Linux,AMD Ryzen 5 2500U,2.0 ГГц,8 ГБ,HDD,1 ТБ,Radeon RX,560X,4 ГБ,(NH.Q3RER.003)
s67,Ноутбук Acer Nitro 5 AN515-55-50CH (NH.Q7MER.005),369690,Acer,Ноутбуки,Нет в наличии,462684,"15,6″ - 39,62 см",DOS,Intel ® Core™ i5-10300H,2.5 ГГц,8 ГБ,SSD,512 ГБ,GeForce GTX,1650 Super,4 ГБ,(NH.Q7MER.005)
s68,Ноутбук HP Gaming Pavilion 15-ec0031ur (8RU06EA),329890,HP,Ноутбуки,Нет в наличии,442590,"15,6″ - 39,62 см",DOS,AMD Ryzen 5 3550H,2.1 ГГц,8 ГБ,HDD + SSD,HDD 1 Тб + SSD 256 Гб,GeForce GTX,1650 Super,4 ГБ,(8RU06EA)
s69,"Ноутбук Acer Spin 3, SP314-52-36E8 (NX.H60ER.007)",199990,Acer,Ноутбуки,Нет в наличии,393482,"14″ - 35,56 см",Windows 10 Home,Intel® Core™ i3-8145U,2.1 ГГц,4 ГБ,SSD,128 ГБ,Intel UHD Graphics,620,,(NX.H60ER.007)
s70,Ноутбук Acer Aspire 3 A315-34 C45UW (NX.HE3ER.001),169990,Acer,Ноутбуки,Нет в наличии,452815,"15,6″ - 39,62 см",Windows 10,Intel® Celeron® N4000,1.10 ГГц,4 ГБ,HDD,500 Гб,Intel HD Graphics,SMA (выделяется из операт. памяти),,(NX.HE3ER.001)
s71,Ноутбук ASUS TUF Gaming FX505DT-AL097 (R585GN),319990,Asus,Ноутбуки,Нет в наличии,442641,"15,6″ - 39,62 см",DOS,AMD Ryzen 5 3550H,2.1 ГГц,8 ГБ,SSD,512 ГБ,GeForce GTX,1650 Super,4 ГБ,(R585GN)
s72,Ноутбук ASUS TUF Gaming FX506 R585GW (90NR03M2-M04310),349990,Asus,Ноутбуки,Нет в наличии,460228,"15,6″ - 39,62 см",DOS,AMD® Ryzen ™ 5 4600H,,8 ГБ,SSD,512 ГБ,GeForce GTX,1650 Super,4 ГБ,(90NR03M2-M04310)
s73,Ноутбук Asus Laptop X509UJ-EJ037T Slate Gray (90NB0N72-M00430),259990,Asus,Ноутбуки,Нет в наличии,392649,"15,6″ - 39,62 см",Windows 10,‎Intel® Core™ i3-7020U,2.3 ГГц,4 ГБ,HDD,1 ТБ,GeForce MX,230,2 ГБ,(90NB0N72-M00430)
s74,Ноутбук Acer Nitro 5 AN515-43 R5КТ (NH.Q6ZER.00D),369990,Acer,Ноутбуки,Нет в наличии,452825,"15,6″ - 39,62 см",DOS,AMD Ryzen 5 3550H,2.1 ГГц,16 ГБ,SSD,512 ГБ,GeForce GTX,1650 Super,4 ГБ,(NH.Q6ZER.00D)
s75,Ноутбук Lenovo Legion Y540 81SY00N7RK,399990,Lenovo,Ноутбуки,Нет в наличии,456855,"15,6″ - 39,62 см",DOS,Intel® Core™ i5-9300H,2.4 ГГц,8 ГБ,HDD + SSD,HDD 1 Тб + SSD 128 Гб,GeForce GTX,1650 Super,4 ГБ,(81SY00N7RK)
s76,Ноутбук Acer Nitro 5 AN515-43 R18U (NH.Q6ZER.00C),349990,Acer,Ноутбуки,Нет в наличии,452824,"15,6″ - 39,62 см",DOS,AMD Ryzen 5 3550H,2.1 ГГц,8 ГБ,SSD,512 ГБ,GeForce GTX,1650 Super,4 ГБ,(NH.Q6ZER.00C)
s77,Ноутбук Acer Aspire 3 A315-34 C45UN (NX.HE3ER.003),149990,Acer,Ноутбуки,Нет в наличии,452814,"15,6″ - 39,62 см",DOS,Intel® Celeron® N4000,1.10 ГГц,4 ГБ,HDD,500 Гб,Intel UHD Graphics,600,SMA (выделяется из операт. памяти),(NX.HE3ER.003)
s78,Ноутбук Asus ROG Strix G G531GT-AL007 (90NR01L3-M05960),429990,Asus,Ноутбуки,Нет в наличии,392640,"15,6″ - 39,62 см",DOS,Intel® Core™ i5-9300H,2.4 ГГц,8 ГБ,SSD,512 ГБ,GeForce GTX,1650 Super,4 ГБ,(90NR01L3-M05960)
s79,Ноутбук Acer Nitro 5 AN515-54 i5165GN (NH.Q59ER.02Y),449990,Acer,Ноутбуки,Нет в наличии,459774,"15,6″ - 39,62 см",DOS,Intel® Core™ i5-9300H,2.4 ГГц,16 ГБ,SSD,512 ГБ,GeForce GTX,1650 Super,4 ГБ,(NH.Q59ER.02Y)
s80,Ноутбук Asus Vivobook X403FA-EB021T Silver Blue & Sand Blast (90NB0LP2-M02040),275690,Asus,Ноутбуки,Нет в наличии,392644,"14″ - 35,56 см",Windows 10,Intel® Core™ i5-8265U,1.6 ГГц,8 ГБ,SSD,512 ГБ,Intel UHD Graphics,,,(90NB0LP2-M02040)
s81,"Ноутбук Acer Swift 1, SF114-32, (NX.GXUER.007)",149990,Acer,Ноутбуки,Нет в наличии,302424,"14″ - 35,56 см",Windows 10 Home,Intel® Celeron® N4000,1.10 ГГц,4 ГБ,SSD,128 ГБ,Intel UHD Graphics,600,,(NX.GXUER.007)
s82,Ноутбук Asus VivoBook 15 X512JA (90NB0QU6-M02240),329990,Asus,Ноутбуки,Нет в наличии,459922,"15,6″ - 39,62 см",Windows 10,Intel® Core™ i5-1035G1,1 ГГц,8 ГБ,SSD,512 ГБ,Intel UHD Graphics,,,(90NB0QU6-M02240)
s83,Ноутбук Acer Aspire 3 A315-54K NX.HEEER.01G,209990,Acer,Ноутбуки,Нет в наличии,427025,"15,6″ - 39,62 см",Windows 10,Intel® Core™ i3-6006U,2.0 ГГц,4 ГБ,HDD,1 ТБ,Intel HD Graphics,250,SMA (выделяется из операт. памяти),(NX.HEEER.01G)
s84,Ноутбук Acer Predator Helios 500 PH517-61 Obsidian Black (NH.Q3GER.003),499990,Acer,Ноутбуки,Нет в наличии,421575,"17,3″ - 43,94 см",Linux,AMD Ryzen 5 2600,3.9 ГГц,16 ГБ,HDD + SSD,HDD 1 ТБ + SSD 512 ГБ,Radeon™ RX Vega 56,,8 ГБ,(NH.Q3GER.003)
s85,Ноутбук Asus Laptop X507MA-EJ305T (90NB0HL1-M05420),149990,Asus,Ноутбуки,Нет в наличии,392648,"15,6″ - 39,62 см",Windows 10,Intel® Pentium® N5000,1.10 ГГц,4 ГБ,HDD,500 Гб,Intel UHD Graphics,605,SMA (выделяется из операт. памяти),(90NB0HL1-M05420)
s86,Ноутбук Acer Extensa EX215-21-47NN (NX.EFUER.001),109990,Acer,Ноутбуки,Нет в наличии,393480,"15,6″ - 39,62 см",Linux,AMD A4-9120e,1.8 ГГц,4 ГБ,HDD,500 Гб,Radeon R3,,SMA (выделяется из операт. памяти),(NX.EFUER.001)
s87,Ноутбук Acer Swift 3 SF314-57G-59DK I585MW (NX.HUGER.002),389690,Acer,Ноутбуки,Нет в наличии,462672,"14″ - 35,56 см",Windows 10,Intel® Core™ i5-1035G1,1 ГГц,8 ГБ,SSD,512 ГБ,GeForce MX,,2 ГБ,(NX.HUGER.002)
s88,Ноутбук Acer Nitro 5 AN515-43 NH.Q6NER.003,269990,Acer,Ноутбуки,Нет в наличии,427028,,DOS,AMD Ryzen 5 3550H,2.1 ГГц,16 ГБ,SSD,512 ГБ,GeForce GTX,1050 Ti,4 ГБ,(NH.Q6NER.003)
