Планшет Apple iPad Air 10.5″ (2019) 64GB WI-FI (MUUK2) Silver,282990,Apple,298070,Планшеты,"10,5″ - 26,67 см",64 Гб,3 ГБ,только Wi-Fi,8 Mpx,7 Mpx
Планшет Lenovo Tab M7 7″ 16GB (TB-7305I) Black,39890,Lenovo,392927,Планшеты,"7″ - 17,8 см",16 Гб,1 ГБ,,2 Mpx,2 Mpx
Планшет BQ 1085L (Black),47690,BQ,460133,Планшеты,"10,1"" - 25,65 см",16 Гб,2 ГБ,Wi-Fi + 4G,5 Mpx,2 Mpx
Планшет Lenovo Tab M10 2/32GB 4G Black (TB-X505X),89990,Lenovo,427278,Планшеты,"10,1"" - 25,65 см",32 Гб,2 ГБ,Wi-Fi + 4G,2 Mpx,5 Mpx
Планшет Lenovo Tab E7 TB-7104F Wi-Fi 7″ 8GB Black,29890,Lenovo,81029,Планшеты,"7″ - 17,8 см",8 Гб,1 ГБ,только Wi-Fi,2 Mpx,"0,3 Mpx"
Планшет BQ 7083G,23990,BQ,460320,Планшеты,"7″ - 17,8 см",8 Гб,1 ГБ,Wi-Fi + 3G,2 Mpx,"0,3 Mpx"
Планшет Apple iPad Pro 11″ (2018) 64GB Wi-Fi (MTXP2) Silver ,359990,Apple,390371,Планшеты,"11″ - 27,94 см",64 Гб,4 ГБ,только Wi-Fi,,
Планшет Apple iPad mini 5 64GB WI-FI (MUQX2) Silver ,233990,Apple,298082,Планшеты,"7,9″ - 20,1 см",64 Гб,3 ГБ,только Wi-Fi,8 Mpx,7 Mpx
"Планшет Lenovo Yoga 10.1"" 3/32GB 4G Grey (YT-X705X)",134890,Lenovo,460134,Планшеты,"10,1"" - 25,65 см",32 Гб,3 ГБ,,8 Mpx,5 Mpx
Планшет Lenovo TB-7305X 1/16GB 4G Black ,49690,Lenovo,427277,Планшеты,"7″ - 17,8 см",16 Гб,1 ГБ,Wi-Fi + 4G,2 Mpx,5 Mpx
Планшет Huawei MediaPad T5 10.1″ 16GB (AGS2-L09) Black,89890,Huawei,86511,Планшеты,"10,1"" - 25,65 см",16 Гб,2 ГБ,,5 Mpx,2 Mpx
Планшет Lenovo TB-8505X 2/32GB 4G Grey,69590,Lenovo,427279,Планшеты,"8″ - 20,3 см",32 Гб,2 ГБ,,2 Mpx,5 Mpx
Планшет Apple iPad Pro 11″ (2018) 64GB Wi-Fi + Cellular (MU0M2) Space Grey,419890,Apple,88230,Планшеты,"11″ - 27,94 см",64 Гб,4 ГБ,Wi-Fi + 4G,12 Mpx,7 Mpx
Планшет Apple iPad Pro 11″ (2020) 128GB Wi‑Fi (MY252) Silver,458990,Apple,459955,Планшеты,"11″ - 27,94 см",128 Гб,6 ГБ,только Wi-Fi,12 Mpx,7 Mpx
Планшет Huawei MediaPad M5 8.4″ 64GB (SHT-AL09) Gray,189790,Huawei,86512,Планшеты,"8,4″ - 21,3 см",64 Гб,4 ГБ,Wi-Fi + 4G,13 Mpx,8 Mpx
Планшет Lenovo Tab E7 7″ TB-7104I 3G 8GB Black,32290,Lenovo,81030,Планшеты,"7″ - 17,8 см",8 Гб,1 ГБ,Wi-Fi + 3G,2 Mpx,"0,3 Mpx"
Планшет Samsung Galaxy Tab S7+ 12.4″ 128GB (SM-T975) Black,449890,Samsung,469004,Планшеты,"12,4″ - 31.5 см",128 Гб,6 ГБ,Wi-Fi + 4G,13+5 Mpx,8 Mpx
Планшет Apple iPad 10.2″ (2020) 32GB Wi-Fi (MYL92) Space Grey ,188790,Apple,471889,Планшеты,"10,2″ - 25,9 см",32 Гб,3 ГБ,только Wi-Fi,8 Mpx,"1,2 Mpx"
Планшет Samsung Galaxy Tab S7 11″ 128GB (SM-T875) Black,359890,Samsung,469002,Планшеты,"11″ - 27,94 см",128 Гб,6 ГБ,Wi-Fi + 4G,13+5 Mpx,8 Mpx
Планшет Apple iPad Pro 9.7″ (2016) 256GB Wi-Fi (MM1A2RK/A) Rose Gold,308990,Apple,71100,Планшеты,"9,7″ - 24,6 см",256 Гб,2 ГБ,только Wi-Fi,12 Mpx,5 Mpx
Планшет Apple iPad Pro 12.9″ (2018) 64GB Wi-Fi (MTEL2) Space Grey,459790,Apple,88236,Планшеты,"12,9″ - 32,77 см",64 Гб,4 ГБ,только Wi-Fi,12 Mpx,7 Mpx
Планшет Huawei MediaPad T3 8″ 16GB (KOB-L09) Gold ,78990,Huawei,83097,Планшеты,"8″ - 20,3 см",16 Гб,2 ГБ,,5 Mpx,2 Mpx
Планшет Lenovo Tab M10 FHD Plus 4/64GB 4G Grey (TB-X606X),109990,Lenovo,467722,Планшеты,"10,3″ - 26,1 см",64 Гб,4 ГБ,Wi-Fi + 4G,8 Mpx,5 Mpx
Планшет Huawei MediaPad T3 8″ 16GB (KOB-L09) Grey ,79590,Huawei,83096,Планшеты,"8″ - 20,3 см",16 Гб,2 ГБ,Wi-Fi + 4G,5 Mpx,2 Mpx
Планшет Apple iPad mini 5 256GB WI-FI (MUU32) Space Gray ,318890,Apple,298084,Планшеты,"7,9″ - 20,1 см",256 Гб,3 ГБ,только Wi-Fi,8 Mpx,7 Mpx
Планшет Apple iPad Pro 11″ 64GB Wi-Fi (3E149) Silver Demo,356990,Apple,86516,Планшеты,"11″ - 27,94 см",64 Гб,4 ГБ,,12 Mpx,7 Mpx
Планшет Apple iPad Air 10.5″ (2019) 64GB WI-FI + Cellular (MV0E2) Silver ,309990,Apple,298076,Планшеты,"10,5″ - 26,67 см",64 Гб,3 ГБ,Wi-Fi + 4G,8 Mpx,7 Mpx
Планшет Apple iPad 10.2″ (2020) 128GB Wi-Fi (MYLD2) Space Grey ,245990,Apple,471892,Планшеты,"10,2″ - 25,9 см",128 Гб,3 ГБ,только Wi-Fi,8 Mpx,"1,2 Mpx"
Планшет Lenovo Tab M7 TB-7305F 1/16GB WiFi Black ,44990,Lenovo,467723,Планшеты,"7″ - 17,8 см",16 Гб,1 ГБ,Wi-Fi + 4G,2 Mpx,2 Mpx
Планшет Apple iPad Pro 11″ (2020) 256GB Wi‑Fi + Cellular (MXE42) Space Grey ,601990,Apple,459997,Планшеты,"11″ - 27,94 см",256 Гб,6 ГБ,Wi-Fi + 4G,12 Mpx,7 Mpx
Планшет Apple iPad Pro 12.9″ (2020) 256GB Wi‑Fi + Cellular (MXF52) Space Grey,716990,Apple,460008,Планшеты,"12,9″ - 32,77 см",256 Гб,6 ГБ,Wi-Fi + 4G,12 Mpx,7 Mpx
Планшет Apple iPad mini 5 256GB WI-FI (MUU52) Silver ,318790,Apple,298085,Планшеты,"7,9″ - 20,1 см",256 Гб,3 ГБ,только Wi-Fi,8 Mpx,7 Mpx
Планшет Apple iPad Pro 11″ (2018) 256GB Wi-Fi + Cellular (MU172) Silver,499890,Apple,390377,Планшеты,"11″ - 27,94 см",256 Гб,4 ГБ,Wi-Fi + 4G,12 Mpx,7 Mpx
Планшет Apple iPad Pro 12.9″ (2020) 256GB Wi‑Fi (MXAT2) Space Grey ,630990,Apple,460003,Планшеты,"12,9″ - 32,77 см",256 Гб,6 ГБ,только Wi-Fi,12 Mpx,7 Mpx
Планшет Samsung Galaxy Tab S7+ 12.4″ 128GB (SM-T975) Bronze,449890,Samsung,469005,Планшеты,"12,4″ - 31.5 см",128 Гб,6 ГБ,Wi-Fi + 4G,13+5 Mpx,8 Mpx
Планшет Apple iPad mini 5 64GB WI-FI + Cellular (MUX62) Silver ,307290,Apple,298088,Планшеты,"7,9″ - 20,1 см",64 Гб,3 ГБ,Wi-Fi + 4G,8 Mpx,7 Mpx
Планшет Lenovo Tab M10 FHD Plus 2/32GB 4G Grey (TB-X606X),99990,Lenovo,467721,Планшеты,"10,3″ - 26,1 см",32 Гб,2 ГБ,Wi-Fi + 4G,8 Mpx,5 Mpx
Планшет Apple iPad Pro 12.9″ (2020) 128GB Wi‑Fi + Cellular (MY3C2) Space Grey,658990,Apple,459958,Планшеты,"12,9″ - 32,77 см",128 Гб,6 ГБ,Wi-Fi + 4G,12 Mpx,7 Mpx
Планшет Apple iPad Pro 12.9″ (2020) 1TB Wi‑Fi (MXAX2) Space Grey,859990,Apple,460007,Планшеты,"12,9″ - 32,77 см",1 Тб,6 ГБ,только Wi-Fi,12 Mpx,7 Mpx
Планшет Apple iPad mini 5 256GB WI-FI (MUU62) Gold ,318790,Apple,298086,Планшеты,"7,9″ - 20,1 см",256 Гб,3 ГБ,только Wi-Fi,8 Mpx,7 Mpx
