QLED телевизор Samsung QE43Q60TAUXCE,244090,Samsung,460807,Все телевизоры,"43″ - 109,2 см",3840x2160 (4K UHD),16:9,Прямой,QLED,Да,Есть (встроенный),Нет
LED телевизор Haier LE65Q6500U,319990,Haier,78342,Все телевизоры,"65″ -165,1 см",3840x2160 (4K UHD),16:9,Изогнутый,Direct,Да,Есть (встроенный),
LED телевизор Haier LE65K6500U,299990,Haier,78341,Все телевизоры,"65″ -165,1 см",3840x2160 (4K UHD),16:9,Прямой,Direct,Да,Есть (встроенный),Нет
Nanocell телевизор LG 55SM8050PLC,299990,LG,436965,Все телевизоры,"55″ - 139,7см",3840x2160 (4K UHD),16:9,Прямой,LED,Да,Есть (встроенный),Нет
QLED телевизор Samsung QE55Q70TAUXCE,419090,Samsung,459801,Все телевизоры,"55″ - 139,7см",3840x2160 (4K UHD),16:9,Прямой,QLED,Да,Есть (встроенный),Нет
LED телевизор Samsung UE50TU8000UXCE,218990,Samsung,460504,Все телевизоры,50″ - 127 см,3840x2160 (4K UHD),16:9,Прямой,Edge LED,Да,Есть (встроенный),Нет
LED телевизор Haier LE55U6900UG,209990,Haier,436002,Все телевизоры,"55″ - 139,7см",3840x2160 (4K UHD),16:9,Прямой,Direct,Да,Есть (встроенный),Нет
LED телевизор Samsung UE65TU7100UXCE,329090,Samsung,459729,Все телевизоры,"65″ -165,1 см",3840x2160 (4K UHD),16:9,Прямой,Edge LED,Да,Есть (встроенный),Нет
QLED Sero TV Samsung QE43LS05TAUXCE,599090,Samsung,463379,Все телевизоры,"43″ - 109,2 см",3840x2160 (4K UHD),16:9,Прямой,QLED,Да,Есть (встроенный),Нет
LED телевизор LG 50UN73506LB,214990,LG,459815,Все телевизоры,50″ - 127 см,3840x2160 (4K UHD),16:9,Прямой,LED,Да,Есть (встроенный),Нет
LED TV Philips 50PUS6523,174990,Philips,398022,Все телевизоры,50″ - 127 см,3840x2160 (4K UHD),16:9,Прямой,Direct,Да,Есть (встроенный),Нет
Nanocell телевизор LG 49SM8050,259990,LG,436966,Все телевизоры,"49″ - 124,5 см",3840x2160 (4K UHD),16:9,Прямой,LED,Да,Есть (встроенный),Нет
LED телевизор Samsung UE50TU8500UXCE,238990,Samsung,459725,Все телевизоры,50″ - 127 см,3840x2160 (4K UHD),16:9,Прямой,Edge LED,Да,Есть (встроенный),Нет
LED телевизор Philips 43PFS5813/60,139990,Philips,306219,Все телевизоры,"43″ - 109,2 см",1920х1080 (FullHD),16:9,,Direct,Да,Есть (встроенный),
LED телевизор ARG LD32A6500,54990,ARG,455637,Все телевизоры,"32″ - 81,3 см",1366x768 (HD),16:9,Прямой,LED,Да,Есть (встроенный),
LED TV Philips 43PFS5034/60,114990,Philips,456848,Все телевизоры,"43″ - 109,2 см",1920х1080 (FullHD),16:9,Прямой,Direct,Нет,Нет,Нет
QLED телевизор Samsung QE65Q60TAUXCE,499090,Samsung,459720,Все телевизоры,"65″ -165,1 см",3840x2160 (4K UHD),16:9,Прямой,QLED,Да,Есть (встроенный),Нет
QLED телевизор Samsung QE65Q70RAUXCE,449990,Samsung,302462,Все телевизоры,"65″ -165,1 см",3840x2160 (4K UHD),,,QLED,Да,Есть (встроенный),
LED телевизор Sony KDL43WF665BR,189990,Sony,80818,Все телевизоры,"43″ - 109,2 см",1920х1080 (FullHD),,,LED,Да,Есть (встроенный),
LED телевизор LG 65SM8600PLA,429990,LG,308804,Все телевизоры,"65″ -165,1 см",3840x2160 (4K UHD),,,LED,Да,Есть (встроенный),
LED телевизор Samsung UE43TU7100UXCE,182890,Samsung,459961,Все телевизоры,"43″ - 109,2 см",3840x2160 (4K UHD),16:9,Прямой,Edge LED,Да,Есть (встроенный),Нет
LED телевизор Sony KDL49WF805BR,279990,Sony,80839,Все телевизоры,"49″ - 124,5 см",1920х1080 (FullHD),16:9,,LED,,Есть (встроенный),
LED телевизор LG 55UN73506LB,239990,LG,459812,Все телевизоры,"55″ - 139,7см",3840x2160 (4K UHD),16:9,Прямой,LED,Да,Есть (встроенный),Нет
NanoCell телевизор LG 65SM8050PLC,429990,LG,436964,Все телевизоры,"65″ -165,1 см",3840x2160 (4K UHD),16:9,Прямой,LED,Да,Есть (встроенный),Нет
LED телевизор Samsung UE55TU8500UXCE,268990,Samsung,459724,Все телевизоры,"55″ - 139,7см",3840x2160 (4K UHD),16:9,Прямой,Edge LED,Да,Есть (встроенный),Нет
OLED телевизор LG OLED65GXRLA,1499990,LG,464030,Все телевизоры,"65″ -165,1 см",3840x2160 (4K UHD),16:9,Прямой,OLED,Да,Есть (встроенный),Нет
LED телевизор Samsung UE55TU7500UXCE,228990,Samsung,463380,Все телевизоры,"55″ - 139,7см",3840x2160 (4K UHD),16:9,Прямой,LED,Да,Есть (встроенный),Нет
Nanocell TV LG 75NANO996NA,1999990,LG,462384,Все телевизоры,"75″ - 190,5 см",7680x4320(8K),16:9,Прямой,LED,Да,Есть (встроенный),Нет
LED телевизор Samsung UE75TU7500UXCE,459090,Samsung,460527,Все телевизоры,"75″ - 190,5 см",3840x2160 (4K UHD),16:9,Прямой,Edge LED,Да,Есть (встроенный),Нет
LED телевизор ARG LD50C35GS5522S,139990,ARG,393638,Все телевизоры,50″ - 127 см,3840x2160 (4K UHD),,,LED,Да,,Нет
LED телевизор Samsung UE43TU8500UXCE,209090,Samsung,459726,Все телевизоры,"43″ - 109,2 см",3840x2160 (4K UHD),16:9,Прямой,Edge LED,Да,Есть (встроенный),Нет
LED телевизор Sony KDL43WF805BR,249990,Sony,80817,Все телевизоры,"43″ - 109,2 см",1920х1080 (FullHD),16:9,,LED,,Есть (встроенный),
LED телевизор Hisense H43A6500,129990,Hisense,78571,Все телевизоры,"43″ - 109,2 см",3840x2160 (4K UHD),16:9,,LED,Да,Есть (встроенный),
LED телевизор Samsung UE65TU8000UXCE,339090,Samsung,459727,Все телевизоры,"65″ -165,1 см",3840x2160 (4K UHD),16:9,Прямой,Edge LED,Да,Есть (встроенный),Нет
LED телевизор Samsung UE75TU7100UXCE,439990,Samsung,460502,Все телевизоры,"75″ - 190,5 см",3840x2160 (4K UHD),16:9,Прямой,Edge LED,Да,Есть (встроенный),Нет
LED телевизор LG 65SM8200PLA,429990,LG,308805,Все телевизоры,"65″ -165,1 см",3840x2160 (4K UHD),,,LED,Да,Есть (встроенный),
