Ноутбук Acer Extensa 15 EX215-51K 59FH (NX.EFPER.017),279990,Acer,Ноутбуки,Товар на витрине,452821,"15,6″ - 39,62 см",DOS,Intel® Core™ i5-6300U,2.4 ГГц,8 ГБ,SSD,512 ГБ,Intel HD Graphics,520,SMA (выделяется из операт. памяти)
Ноутбук Acer Aspire 3 A315-34-P351 (NX.HE3ER.010),174990,Acer,Ноутбуки,Товар на витрине,462681,"15,6″ - 39,62 см",DOS,Intel® Pentium® Silver N5030,1.1 ГГц,4 ГБ,HDD,1 ТБ,Intel UHD Graphics,605,
"Ноутбук Apple MacBook Air 13″ (2020) i3 1,1/8Gb/256GB SSD Space Gray (MWTJ2)",553890,Apple,Ноутбуки,Есть в наличии,460038,"13,3″ - 33,78 см",MacOS X,Intel® Core™ i3-1000NG4,1.10 ГГц,8 ГБ,SSD,256 Гб,Iris Plus Graphics,,1.5 ГБ
Ноутбук Acer Aspire 7 Gaming  A715-75G-701Q   (NH.Q87ER.00F),439390,Acer,Ноутбуки,Есть в наличии,462675,"15,6″ - 39,62 см",DOS,Intel® Core™ i7-9750H,2.6 ГГц,16 ГБ,SSD,512 ГБ,GeForce GTX,1650 Super,4 ГБ
Ноутбук Asus TUF Gaming FX505D (90NR02D1-M12900),339890,Asus,Ноутбуки,Есть в наличии,463041,"15,6″ - 39,62 см",DOS,AMD Ryzen 5 3550H,2.1 ГГц,8 ГБ,SSD,512 ГБ,GeForce GTX,1650 Super,4 ГБ
Ноутбук Asus VivoBook 15 X512D R341TUW (90NB0LZ3-M25760),229990,Asus,Ноутбуки,Товар на витрине,463052,"15,6″ - 39,62 см",Windows 10,AMD Ryzen 3 3200U,2.6 ГГц,4 ГБ,HDD,1 ТБ,Radeon,Vega 3,
Ноутбук Acer Aspire 3 A315-54K (NX.HEEER.01Q),269990,Acer,Ноутбуки,Товар на витрине,467026,"15,6″ - 39,62 см",DOS,Intel® Core™ i5-6300U,2.4 ГГц,4 ГБ,HDD,1 ТБ,Intel HD Graphics,520,
Ноутбук HP Laptop Potter 1.0 I341TUN 1X2S1EA (15-da0567ur),189990,HP,Ноутбуки,Есть в наличии,463056,"15,6″ - 39,62 см",DOS,Intel® Core™ i3-8130U,,4 ГБ,HDD,1 ТБ,Intel UHD Graphics,620,
"Ноутбук Apple MacBook Air 13″ (2020) i3 1,1/8Gb/256GB SSD Gold (MWTL2)",561990,Apple,Ноутбуки,Есть в наличии,460040,"13,3″ - 33,78 см",MacOS X,Intel® Core™ i3-1000NG4,1.10 ГГц,8 ГБ,SSD,256 Гб,Iris Plus Graphics,,1.5 ГБ
Ноутбук Acer Predator Triton 700 PT715-51 (NH.Q2KER.002),799990,Acer,Ноутбуки,Товар на витрине,80397,"15,6″ - 39,62 см",Windows 10,Intel® Core™ i7-7700HQ,2.8 ГГц,16 ГБ,SSD,512 ГБ,GeForce GTX,1060,6 ГБ
